neighbourhood,location
Barking and Dagenham,outer
Barnet,outer
Bexley,outer
Brent,outer
Bromley,outer
Camden,inner
City of London,inner
Croydon,outer
Ealing,outer
Enfield,outer
Greenwich,inner
Hackney,inner
Hammersmith and Fulham,inner
Haringey,outer
Harrow,outer
Havering,outer
Hillingdon,outer
Hounslow,outer
Islington,inner
Kensington and Chelsea,inner
Kingston upon Thames,outer
Lambeth,inner
Lewisham,inner
Merton,outer
Newham,inner
Redbridge,outer
Richmond upon Thames,outer
Southwark,inner
Sutton,outer
Tower Hamlets,inner
Waltham Forest,outer
Wandsworth,inner
City of Westminster,inner