code,borough,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h
E09000001,City of London,648,757,865,973,"1,189","1,405","1,621","1,945"
E09000002,Barking & Dagenham,"1,037","1,210","1,383","1,556","1,902","2,248","2,593","3,112"
E09000003,Barnet,"1,030","1,202","1,374","1,545","1,889","2,232","2,576","3,091"
E09000004,Bexley,"1,119","1,306","1,492","1,679","2,052","2,425","2,798","3,358"
E09000005,Brent,"1,055","1,231","1,407","1,583","1,935","2,286","2,638","3,166"
E09000006,Bromley,"1,025","1,195","1,366","1,537","1,878","2,220","2,561","3,074"
E09000007,Camden,"1,042","1,215","1,389","1,563","1,910","2,257","2,604","3,125"
E09000008,Croydon,"1,145","1,335","1,526","1,717","2,098","2,480","2,861","3,434"
E09000009,Ealing,"1,008","1,176","1,344","1,512","1,848","2,184","2,520","3,024"
E09000010,Enfield,"1,088","1,269","1,451","1,632","1,995","2,357","2,720","3,264"
E09000011,Greenwich,993,"1,159","1,324","1,490","1,821","2,152","2,483","2,979"
E09000012,Hackney,970,"1,132","1,293","1,455","1,778","2,101","2,425","2,910"
E09000013,Hammersmith & Fulham,722,842,962,"1,083","1,323","1,564","1,804","2,165"
E09000014,Haringey,"1,094","1,276","1,458","1,640","2,005","2,369","2,734","3,281"
E09000015,Harrow,"1,190","1,388","1,586","1,785","2,181","2,578","2,975","3,570"
E09000016,Havering,"1,152","1,345","1,537","1,729","2,113","2,497","2,881","3,457"
E09000017,Hillingdon,973,"1,136","1,298","1,460","1,785","2,109","2,434","2,920"
E09000018,Hounslow,"1,031","1,203","1,375","1,547","1,890","2,234","2,578","3,093"
E09000019,Islington,993,"1,159","1,324","1,490","1,821","2,152","2,483","2,979"
E09000020,Kensington & Chelsea,805,939,"1,074","1,208","1,476","1,745","2,013","2,416"
E09000021,Kingston-upon-Thames,"1,248","1,456","1,664","1,872","2,288","2,704","3,120","3,743"
E09000022,Lambeth,963,"1,124","1,285","1,445","1,766","2,088","2,409","2,890"
E09000023,Lewisham,"1,056","1,232","1,408","1,584","1,937","2,289","2,641","3,169"
E09000024,Merton,"1,035","1,208","1,380","1,553","1,898","2,243","2,588","3,106"
E09000025,Newham,888,"1,036","1,183","1,331","1,627","1,923","2,219","2,663"
E09000026,Redbridge,"1,084","1,265","1,446","1,626","1,988","2,349","2,711","3,253"
E09000027,Richmond-upon-Thames,"1,202","1,403","1,603","1,804","2,205","2,605","3,006","3,607"
E09000028,Southwark,925,"1,079","1,233","1,387","1,695","2,003","2,311","2,774"
E09000029,Sutton,"1,130","1,318","1,506","1,694","2,071","2,447","2,824","3,389"
E09000030,Tower Hamlets,893,"1,042","1,191","1,340","1,638","1,936","2,234","2,680"
E09000031,Waltham Forest,"1,129","1,318","1,506","1,694","2,070","2,447","2,823","3,388"
E09000032,Wandsworth,514,599,685,770,941,"1,113","1,284","1,541"
E09000033,Westminster,504,588,672,755,923,"1,091","1,259","1,511"