code,borough,income-avgrank,income-rankavgrank,income-avgscore,income-rankavgscore,income-scale,income-rankscale,employ-avgrank,employ-rankavgrank,employ-avgscore,employ-rankavgscore,employ-scale,employ-rankscale,educ-avgrank,educ-rankavgrank,hdep-avgrank,hdep-rankavgrank,hdep-avgscore,hdep-rankavgscore,crime-avgrank,crime-rankavgrank,crime-avgscore,crime-rankavgscore,housebar-avgrank,housebar-rankavgrank,housebar-avgscore,housebar-rankavgscore,env-avgrank,env-rankavgrank,env-avgscore,env-rankavgscore
E09000001,City of London,8080,292,0.1,280,431,316,8325.3,286,0.1,286,218.5,316,5270.4,314,8758.3,247,-0.7,254,1234.8,317,-1.7,317,28055.8,10,35.7,10,26411.2,10,39,13
E09000002,Barking and Dagenham,25142.7,4,0.2,20,39254,51,21951.1,43,0.1,70,14074.8,73,21696.4,44,19499.7,94,0.2,96,23668.3,21,0.5,28,31669.7,2,46.3,2,23068.5,41,29.1,52
E09000003,Barnet,16104.1,137,0.1,149,41746,45,13169.1,201,0.1,205,16661,57,7894.6,302,5011.8,297,-1.1,298,17479.5,111,0.1,113,25355.6,20,31.2,21,20275.3,71,24.7,91
E09000004,Bexley,14732.3,171,0.1,170,25467,95,13522.2,194,0.1,193,10756,98,16899.3,140,9446.2,228,-0.6,230,14596.5,165,-0.1,156,20691,58,25.9,61,16997,123,19.8,144
E09000005,Brent,21445.3,38,0.2,65,50137,27,17690.6,110,0.1,122,19894.8,42,14477.3,199,10642.8,210,-0.5,207,21996.4,45,0.4,49,30661.4,4,42.8,3,22811.3,46,28.7,54
E09000006,Bromley,12232.8,219,0.1,207,29540,82,11414.4,231,0.1,224,12757.5,82,9841.2,281,6522.5,275,-0.9,280,15906.4,132,0,132,22995.1,32,27.8,40,15733,140,18.4,166
E09000007,Camden,18655.6,87,0.1,90,34330,63,15925.9,151,0.1,148,14945.5,66,10337.7,274,10894.3,207,-0.6,227,20400.7,70,0.3,69,17780.1,132,21.6,152,24878.5,22,33.5,35
E09000008,Croydon,18584.2,89,0.1,97,51702,26,16769.5,128,0.1,143,20961.3,32,14304.1,203,14352.6,165,-0.2,165,20068.8,74,0.3,74,27123.4,15,34,14,20381,69,26,77
E09000009,Ealing,19531.3,63,0.1,94,48235,34,16590.7,136,0.1,146,19506.8,43,12144.4,246,12374.1,189,-0.3,189,19489.7,80,0.2,79,28039.4,11,36.5,6,23725.1,34,30.3,46
E09000010,Enfield,21937.5,30,0.2,41,56010,17,18498.5,92,0.1,104,20119.5,40,16856,141,9915.4,221,-0.5,222,19084.4,84,0.2,89,29478.9,5,39.7,5,21993.3,53,27.5,65
E09000011,Greenwich,21413.4,39,0.2,57,43334,43,18637.7,90,0.1,107,17715.5,51,14736.5,193,16405.4,132,0,134,22514.7,36,0.5,45,26085.3,17,32.3,17,20159.7,73,24.6,92
E09000012,Hackney,24634.7,5,0.2,19,52473,23,20677.3,57,0.1,75,21033.5,31,13748.7,214,21637.9,67,0.4,75,24250.5,15,0.6,20,31221.8,3,42.7,4,26058.4,14,36.1,21
E09000013,Hammersmith and Fulham,19094.3,78,0.1,88,25704,94,16749.6,130,0.1,133,11701.8,92,8311.5,299,16097.8,137,-0.1,141,21048.9,58,0.3,63,23737.6,30,28.3,34,26012.4,16,35,25
E09000014,Haringey,21844.2,31,0.2,42,45603,38,18938.8,83,0.1,93,18886.8,45,15035.5,184,15020,154,-0.1,157,25422.8,9,0.7,11,28056.1,9,35.1,12,25874.1,17,34.4,30
E09000015,Harrow,16269.8,132,0.1,156,26735,90,12069.1,220,0.1,227,9792,109,8315.4,298,4760,298,-1,293,14342.3,166,-0.1,163,27314.5,14,33.9,15,16503.9,127,19,156
E09000016,Havering,15178.1,159,0.1,162,26766,89,14074.2,183,0.1,186,11171.3,97,19190.2,95,9832.9,222,-0.5,223,18056.3,97,0.1,100,18308.7,118,22.7,136,14618.8,166,16.7,190
E09000017,Hillingdon,16509.2,126,0.1,142,33575,67,13767.7,188,0.1,197,13440.3,76,15003.8,185,11646.6,194,-0.4,193,19392.7,83,0.2,81,23978.7,28,29.6,27,17275.2,117,20.3,136
E09000018,Hounslow,18673.2,86,0.1,111,34173,64,14821.5,169,0.1,183,13243.8,77,12471.6,239,12989.8,181,-0.3,182,21438.9,55,0.4,61,27890.8,12,35.1,11,23240.4,36,29.8,48
E09000019,Islington,23301.6,17,0.2,35,40551,47,20245.8,63,0.1,84,18240.5,48,12332.8,244,20276.5,82,0.3,89,24433.6,13,0.6,21,24133.7,27,28.2,35,26061.4,13,35.4,23
E09000020,Kensington and Chelsea,13962.5,187,0.1,137,18502,122,12503.4,211,0.1,179,8196.5,126,5295.1,313,6985.2,270,-1.2,307,20751.8,64,0.3,68,28557,7,36.1,9,28690.6,3,42,6
E09000021,Kingston upon Thames,11391.6,236,0.1,242,13293,166,8638.4,281,0.1,282,5718.8,181,7002.7,306,5470.8,289,-1,287,11848.6,207,-0.3,205,20641.3,60,24.7,83,20231.1,72,24.7,90
E09000022,Lambeth,20983.2,45,0.2,70,48928,31,17311.7,118,0.1,136,21179,30,10677.9,267,18598.8,99,0.1,103,23226.8,26,0.5,29,24286.8,26,28.4,31,28937.8,2,44.4,3
E09000023,Lewisham,22217.2,28,0.2,50,48333,33,19342,76,0.1,99,20378,37,13445.4,223,17636.2,115,0.1,120,21786.7,50,0.4,57,27807.6,13,34.8,13,26197,11,36.4,20
E09000024,Merton,14087,184,0.1,181,20586,114,10933.5,241,0.1,238,8321.8,124,9047.2,288,9260.8,234,-0.6,243,15738.5,139,-0.1,136,17907.6,128,22.2,145,23193.2,38,29.6,50
E09000025,Newham,23168,19,0.2,44,56769,15,17778.8,107,0.1,137,20831.8,35,17121.4,134,16231.9,136,0,135,22834.5,29,0.5,35,32336.6,1,49.3,1,24540.7,25,32.5,40
E09000026,Redbridge,17685.5,110,0.1,132,35863,58,13372.1,195,0.1,208,13017.3,80,11277.8,260,7444.1,265,-0.7,261,20354.9,71,0.3,71,23376.2,31,28,36,20635.3,67,25.2,82
E09000027,Richmond upon Thames,8767.3,285,0.1,283,12371,179,7627.3,297,0.1,291,5816,177,3528.7,317,3290.6,310,-1.4,311,15404.3,146,-0.1,146,12828.8,242,17.5,242,21705.8,55,26.6,69
E09000028,Southwark,21355,40,0.2,54,49900,29,17890.9,106,0.1,123,20959.5,33,11263.6,262,18240.1,107,0.1,112,22487.7,37,0.5,40,26853.8,16,32.7,16,26080,12,36,22
E09000029,Sutton,13312,199,0.1,197,18870,118,12008.2,223,0.1,217,8299.3,125,11318.2,259,9551.5,225,-0.6,232,14074.4,172,-0.2,172,18566.7,110,22.8,134,17857.3,105,21.3,126
E09000030,Tower Hamlets,23902.9,10,0.2,23,56191,16,18064.2,101,0.1,114,20889.5,34,15428,176,19333.3,95,0.2,98,22835.7,28,0.5,33,25818.1,19,30.5,24,24554.1,24,33.2,36
E09000031,Waltham Forest,21174.6,43,0.2,72,41052,46,17533.2,111,0.1,135,16108,61,16218.9,155,14437.3,161,-0.2,162,21961.7,46,0.4,56,28669.3,6,36.5,7,25529.8,19,34.3,33
E09000032,Wandsworth,15134.7,162,0.1,167,33856,65,11027.8,238,0.1,241,14180,72,6838,308,11755.8,193,-0.4,196,17975.9,101,0.1,103,22221.2,39,27,47,24522.8,26,32.5,39
E09000033,Westminster,16667.5,121,0.1,101,32018,73,14096.2,182,0.1,160,14187.5,71,8630.1,293,9103.6,238,-0.9,272,17774.9,105,0.1,106,19435.9,83,23.1,129,27971.7,4,40.9,8